CPT_CODES, CPT_DESCRIPTION, ICD_CODES, ICD_DESCRIPTION
93451, Right heart cath<<<wut>>>RIGHT HEART CATHETERIZATION INCLUDING MEASUREMENT(S) OF OXYGEN SATURATION AND CARDIAC OUTPUT, WHEN PERFORMED, A18.84, Tuberculosis of heart
93451, Right heart cath<<<wut>>>RIGHT HEART CATHETERIZATION INCLUDING MEASUREMENT(S) OF OXYGEN SATURATION AND CARDIAC OUTPUT, WHEN PERFORMED, A39.50, Meningococcal carditis, unspecified
93451, Right heart cath<<<wut>>>RIGHT HEART CATHETERIZATION INCLUDING MEASUREMENT(S) OF OXYGEN SATURATION AND CARDIAC OUTPUT, WHEN PERFORMED, A39.51, Meningococcal endocarditis
93451, Right heart cath<<<wut>>>RIGHT HEART CATHETERIZATION INCLUDING MEASUREMENT(S) OF OXYGEN SATURATION AND CARDIAC OUTPUT, WHEN PERFORMED, A39.52, Meningococcal myocarditis
93451, Right heart cath<<<wut>>>RIGHT HEART CATHETERIZATION INCLUDING MEASUREMENT(S) OF OXYGEN SATURATION AND CARDIAC OUTPUT, WHEN PERFORMED, A52.03, Syphilitic endocarditis
93451, Right heart cath<<<wut>>>RIGHT HEART CATHETERIZATION INCLUDING MEASUREMENT(S) OF OXYGEN SATURATION AND CARDIAC OUTPUT, WHEN PERFORMED, A52.06, Other syphilitic heart involvement
93451, Right heart cath<<<wut>>>RIGHT HEART CATHETERIZATION INCLUDING MEASUREMENT(S) OF OXYGEN SATURATION AND CARDIAC OUTPUT, WHEN PERFORMED, A54.83, Gonococcal heart infection
93451, Right heart cath<<<wut>>>RIGHT HEART CATHETERIZATION INCLUDING MEASUREMENT(S) OF OXYGEN SATURATION AND CARDIAC OUTPUT, WHEN PERFORMED, A78, Q fever
93451, Right heart cath<<<wut>>>RIGHT HEART CATHETERIZATION INCLUDING MEASUREMENT(S) OF OXYGEN SATURATION AND CARDIAC OUTPUT, WHEN PERFORMED, B33.20, Viral carditis, unspecified
93451, Right heart cath<<<wut>>>RIGHT HEART CATHETERIZATION INCLUDING MEASUREMENT(S) OF OXYGEN SATURATION AND CARDIAC OUTPUT, WHEN PERFORMED, B33.21, Viral endocarditis
93451, Right heart cath<<<wut>>>RIGHT HEART CATHETERIZATION INCLUDING MEASUREMENT(S) OF OXYGEN SATURATION AND CARDIAC OUTPUT, WHEN PERFORMED, B33.22, Viral myocarditis
93451, Right heart cath<<<wut>>>RIGHT HEART CATHETERIZATION INCLUDING MEASUREMENT(S) OF OXYGEN SATURATION AND CARDIAC OUTPUT, WHEN PERFORMED, B37.6, Candidal endocarditis
