CPT_CODES, CPT_DESCRIPTION, ICD_CODES, ICD_DESCRIPTION
73725, Mr ang lwr ext w or w/o dye<<<wut>>>MAGNETIC RESONANCE ANGIOGRAPHY, LOWER EXTREMITY, WITH OR WITHOUT CONTRAST MATERIAL(S), XX000, Not Applicable
C8909, MRA w/cont, chest<<<wut>>>MAGNETIC RESONANCE ANGIOGRAPHY WITH CONTRAST, CHEST (EXCLUDING MYOCARDIUM), XX000, Not Applicable
C8920, MRA w/o fol w/cont, pelvis<<<wut>>>MAGNETIC RESONANCE ANGIOGRAPHY WITHOUT CONTRAST FOLLOWED BY WITH CONTRAST, PELVIS, XX000, Not Applicable
72198, Mr angio pelvis w/o & w/dye<<<wut>>>MAGNETIC RESONANCE ANGIOGRAPHY, PELVIS, WITH OR WITHOUT CONTRAST MATERIAL(S), XX000, Not Applicable
C8902, MRA w/o fol w/cont, abd<<<wut>>>MAGNETIC RESONANCE ANGIOGRAPHY WITHOUT CONTRAST FOLLOWED BY WITH CONTRAST, ABDOMEN, XX000, Not Applicable
C8900, MRA w/cont, abd<<<wut>>>MAGNETIC RESONANCE ANGIOGRAPHY WITH CONTRAST, ABDOMEN, XX000, Not Applicable
C8901, MRA w/o cont, abd<<<wut>>>MAGNETIC RESONANCE ANGIOGRAPHY WITHOUT CONTRAST, ABDOMEN, XX000, Not Applicable
70549, Mr angiograph neck w/o&w/dye<<<wut>>>MAGNETIC RESONANCE ANGIOGRAPHY, NECK; WITHOUT CONTRAST MATERIAL(S), FOLLOWED BY CONTRAST MATERIAL(S) AND FURTHER SEQUENCES, XX000, Not Applicable
70548, Mr angiography neck w/dye<<<wut>>>MAGNETIC RESONANCE ANGIOGRAPHY, NECK; WITH CONTRAST MATERIAL(S), XX000, Not Applicable
70545, Mr angiography head w/dye<<<wut>>>MAGNETIC RESONANCE ANGIOGRAPHY, HEAD; WITH CONTRAST MATERIAL(S), XX000, Not Applicable
70544, Mr angiography head w/o dye<<<wut>>>MAGNETIC RESONANCE ANGIOGRAPHY, HEAD; WITHOUT CONTRAST MATERIAL(S), XX000, Not Applicable
C8918, MRA w/cont, pelvis<<<wut>>>MAGNETIC RESONANCE ANGIOGRAPHY WITH CONTRAST, PELVIS, XX000, Not Applicable
70547, Mr angiography neck w/o dye<<<wut>>>MAGNETIC RESONANCE ANGIOGRAPHY, NECK; WITHOUT CONTRAST MATERIAL(S), XX000, Not Applicable
70546, Mr angiograph head w/o&w/dye<<<wut>>>MAGNETIC RESONANCE ANGIOGRAPHY, HEAD; WITHOUT CONTRAST MATERIAL(S), FOLLOWED BY CONTRAST MATERIAL(S) AND FURTHER SEQUENCES, XX000, Not Applicable
71555, Mri angio chest w or w/o dye<<<wut>>>MAGNETIC RESONANCE ANGIOGRAPHY, CHEST (EXCLUDING MYOCARDIUM), WITH OR WITHOUT CONTRAST MATERIAL(S), XX000, Not Applicable
C8919, MRA w/o cont, pelvis<<<wut>>>MAGNETIC RESONANCE ANGIOGRAPHY WITHOUT CONTRAST, PELVIS, XX000, Not Applicable
C8931, MRA, w/dye, spinal canal<<<wut>>>MAGNETIC RESONANCE ANGIOGRAPHY WITH CONTRAST, SPINAL CANAL AND CONTENTS, XX000, Not Applicable
C8910, MRA w/o cont, chest<<<wut>>>MAGNETIC RESONANCE ANGIOGRAPHY WITHOUT CONTRAST, CHEST (EXCLUDING MYOCARDIUM), XX000, Not Applicable
C8932, MRA, w/o dye, spinal canal<<<wut>>>MAGNETIC RESONANCE ANGIOGRAPHY WITHOUT CONTRAST, SPINAL CANAL AND CONTENTS, XX000, Not Applicable
C8913, MRA w/o cont, lwr ext<<<wut>>>MAGNETIC RESONANCE ANGIOGRAPHY WITHOUT CONTRAST, LOWER EXTREMITY, XX000, Not Applicable
C8935, MRA, w/o dye, upper extr<<<wut>>>MAGNETIC RESONANCE ANGIOGRAPHY WITHOUT CONTRAST, UPPER EXTREMITY, XX000, Not Applicable
C8914, MRA w/o fol w/cont, lwr ext<<<wut>>>MAGNETIC RESONANCE ANGIOGRAPHY WITHOUT CONTRAST FOLLOWED BY WITH CONTRAST, LOWER EXTREMITY, XX000, Not Applicable
C8936, MRA, w/o&w/dye, upper extr<<<wut>>>MAGNETIC RESONANCE ANGIOGRAPHY WITHOUT CONTRAST FOLLOWED BY WITH CONTRAST, UPPER EXTREMITY, XX000, Not Applicable
74185, Mri angio abdom w orw/o dye<<<wut>>>MAGNETIC RESONANCE ANGIOGRAPHY, ABDOMEN, WITH OR WITHOUT CONTRAST MATERIAL(S), XX000, Not Applicable
C8911, MRA w/o fol w/cont, chest<<<wut>>>MAGNETIC RESONANCE ANGIOGRAPHY WITHOUT CONTRAST FOLLOWED BY WITH CONTRAST, CHEST (EXCLUDING MYOCARDIUM), XX000, Not Applicable
C8933, MRA, w/o&w/dye, spinal canal<<<wut>>>MAGNETIC RESONANCE ANGIOGRAPHY WITHOUT CONTRAST FOLLOWED BY WITH CONTRAST, SPINAL CANAL AND CONTENTS, XX000, Not Applicable
C8912, MRA w/cont, lwr ext<<<wut>>>MAGNETIC RESONANCE ANGIOGRAPHY WITH CONTRAST, LOWER EXTREMITY, XX000, Not Applicable
C8934, MRA, w/dye, upper extremity<<<wut>>>MAGNETIC RESONANCE ANGIOGRAPHY WITH CONTRAST, UPPER EXTREMITY, XX000, Not Applicable
