CPT_CODES, CPT_DESCRIPTION, ICD_CODES, ICD_DESCRIPTION
83880, Assay of natriuretic peptide<<<wut>>>NATRIURETIC PEPTIDE, I11.0, Hypertensive heart disease with heart failure
83880, Assay of natriuretic peptide<<<wut>>>NATRIURETIC PEPTIDE, I13.0, Hypertensive heart and chronic kidney disease with heart failure and stage 1 through stage 4 chronic kidney disease, or unspecified chronic kidney disease
83880, Assay of natriuretic peptide<<<wut>>>NATRIURETIC PEPTIDE, I13.2, Hypertensive heart and chronic kidney disease with heart failure and with stage 5 chronic kidney disease, or end stage renal disease
83880, Assay of natriuretic peptide<<<wut>>>NATRIURETIC PEPTIDE, I16.0, Hypertensive urgency
83880, Assay of natriuretic peptide<<<wut>>>NATRIURETIC PEPTIDE, I16.1, Hypertensive emergency
83880, Assay of natriuretic peptide<<<wut>>>NATRIURETIC PEPTIDE, I16.9, Hypertensive crisis, unspecified
83880, Assay of natriuretic peptide<<<wut>>>NATRIURETIC PEPTIDE, I20.0, Unstable angina
83880, Assay of natriuretic peptide<<<wut>>>NATRIURETIC PEPTIDE, I21.01, ST elevation (STEMI) myocardial infarction involving left main coronary artery
83880, Assay of natriuretic peptide<<<wut>>>NATRIURETIC PEPTIDE, I21.02, ST elevation (STEMI) myocardial infarction involving left anterior descending coronary artery
83880, Assay of natriuretic peptide<<<wut>>>NATRIURETIC PEPTIDE, I21.09, ST elevation (STEMI) myocardial infarction involving other coronary artery of anterior wall
83880, Assay of natriuretic peptide<<<wut>>>NATRIURETIC PEPTIDE, I21.11, ST elevation (STEMI) myocardial infarction involving right coronary artery
83880, Assay of natriuretic peptide<<<wut>>>NATRIURETIC PEPTIDE, I21.19, ST elevation (STEMI) myocardial infarction involving other coronary artery of inferior wall
83880, Assay of natriuretic peptide<<<wut>>>NATRIURETIC PEPTIDE, I21.21, ST elevation (STEMI) myocardial infarction involving left circumflex coronary artery
83880, Assay of natriuretic peptide<<<wut>>>NATRIURETIC PEPTIDE, I21.29, ST elevation (STEMI) myocardial infarction involving other sites
83880, Assay of natriuretic peptide<<<wut>>>NATRIURETIC PEPTIDE, I21.3, ST elevation (STEMI) myocardial infarction of unspecified site
83880, Assay of natriuretic peptide<<<wut>>>NATRIURETIC PEPTIDE, I21.4, Non-ST elevation (NSTEMI) myocardial infarction
83880, Assay of natriuretic peptide<<<wut>>>NATRIURETIC PEPTIDE, I21.9, Acute myocardial infarction, unspecified
83880, Assay of natriuretic peptide<<<wut>>>NATRIURETIC PEPTIDE, I21.A1, Myocardial infarction type 2
83880, Assay of natriuretic peptide<<<wut>>>NATRIURETIC PEPTIDE, I21.A9, Other myocardial infarction type
83880, Assay of natriuretic peptide<<<wut>>>NATRIURETIC PEPTIDE, I22.0, Subsequent ST elevation (STEMI) myocardial infarction of anterior wall
83880, Assay of natriuretic peptide<<<wut>>>NATRIURETIC PEPTIDE, I22.1, Subsequent ST elevation (STEMI) myocardial infarction of inferior wall
83880, Assay of natriuretic peptide<<<wut>>>NATRIURETIC PEPTIDE, I22.2, Subsequent non-ST elevation (NSTEMI) myocardial infarction
83880, Assay of natriuretic peptide<<<wut>>>NATRIURETIC PEPTIDE, I22.8, Subsequent ST elevation (STEMI) myocardial infarction of other sites
83880, Assay of natriuretic peptide<<<wut>>>NATRIURETIC PEPTIDE, I22.9, Subsequent ST elevation (STEMI) myocardial infarction of unspecified site
83880, Assay of natriuretic peptide<<<wut>>>NATRIURETIC PEPTIDE, I25.110, Atherosclerotic heart disease of native coronary artery with unstable angina pectoris
83880, Assay of natriuretic peptide<<<wut>>>NATRIURETIC PEPTIDE, I25.700, Atherosclerosis of coronary artery bypass graft(s), unspecified, with unstable angina pectoris
83880, Assay of natriuretic peptide<<<wut>>>NATRIURETIC PEPTIDE, I25.710, Atherosclerosis of autologous vein coronary artery bypass graft(s) with unstable angina pectoris
83880, Assay of natriuretic peptide<<<wut>>>NATRIURETIC PEPTIDE, I25.720, Atherosclerosis of autologous artery coronary artery bypass graft(s) with unstable angina pectoris
83880, Assay of natriuretic peptide<<<wut>>>NATRIURETIC PEPTIDE, I25.730, Atherosclerosis of nonautologous biological coronary artery bypass graft(s) with unstable angina pectoris
83880, Assay of natriuretic peptide<<<wut>>>NATRIURETIC PEPTIDE, I25.750, Atherosclerosis of native coronary artery of transplanted heart with unstable angina
83880, Assay of natriuretic peptide<<<wut>>>NATRIURETIC PEPTIDE, I25.760, Atherosclerosis of bypass graft of coronary artery of transplanted heart with unstable angina
83880, Assay of natriuretic peptide<<<wut>>>NATRIURETIC PEPTIDE, I25.790, Atherosclerosis of other coronary artery bypass graft(s) with unstable angina pectoris
83880, Assay of natriuretic peptide<<<wut>>>NATRIURETIC PEPTIDE, I31.1, Chronic constrictive pericarditis
83880, Assay of natriuretic peptide<<<wut>>>NATRIURETIC PEPTIDE, I42.0, Dilated cardiomyopathy
83880, Assay of natriuretic peptide<<<wut>>>NATRIURETIC PEPTIDE, I42.1, Obstructive hypertrophic cardiomyopathy
83880, Assay of natriuretic peptide<<<wut>>>NATRIURETIC PEPTIDE, I42.2, Other hypertrophic cardiomyopathy
83880, Assay of natriuretic peptide<<<wut>>>NATRIURETIC PEPTIDE, I42.5, Other restrictive cardiomyopathy
83880, Assay of natriuretic peptide<<<wut>>>NATRIURETIC PEPTIDE, I42.8, Other cardiomyopathies
83880, Assay of natriuretic peptide<<<wut>>>NATRIURETIC PEPTIDE, I42.9, Cardiomyopathy, unspecified
